Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
Starlink-1771,USA,Commercial,SpaceX,Communications,LEO
Starlink-1773 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1774 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1775 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1776 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1777 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1780 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1781 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1782,USA,Commercial,SpaceX,Communications,LEO
Starlink-1783 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1784 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1785 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1788 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1789 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1790 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1791 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1792 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1793 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1794 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1795 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1797 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1798 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1799 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1800 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1801 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1802 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1803 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1804 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1805 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1806 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1807 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1808 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1810 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1811 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1812 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1813 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1814 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1815 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1816 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1817 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1818 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1820 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1821 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1822 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1825 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1826 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1828 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1829 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1830 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1832 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1833 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1834 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1835 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1837 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1838 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1839 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1842 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1843 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1844 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1845 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1846 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1848 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1849 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1850 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1851 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1852 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1854 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1856 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1857 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1860 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1861 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1862 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1863 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1864 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1865 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1866 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1867 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1868 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1869 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1871 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1873 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1876 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1877 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1878 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1879 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1880 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1882 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1883 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1884 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1887 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1888 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1890 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1891 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1892 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1893 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1894 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1895 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1896 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1899 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1903 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1904,USA,Commercial,SpaceX,Communications,LEO
Starlink-1905 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1906 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1907 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1908 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1909 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1910 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1911 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1912 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1913 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1916 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1917 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1918 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1920 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1921 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1922 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1923 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1924 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1925 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1926 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1927 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1928 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1929 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1930 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1931 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1932 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1933 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1934 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1936 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1938 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1940 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1941 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1942 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1943 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1944 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1948 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1953 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1954 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1955 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1956 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1957 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1958 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1959 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1960 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1961 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1962 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1963 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1964 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1965 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1966 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1967 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1969 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1970 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1971,USA,Commercial,SpaceX,Communications,LEO
Starlink-1972 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1973 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1974 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1975,USA,Commercial,SpaceX,Communications,LEO
Starlink-1976 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1977 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1978 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1979 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1980 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1981 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1982 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1983 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1984 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1986 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1987 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1989 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1990 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1991 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1992 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1993 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1994 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1995 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1996 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1997 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1998 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-1999 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2000 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2001 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2002 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2003 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2004 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2005 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2006 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2007 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2008 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2009 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2010 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2011 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2012 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2013 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2014 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2015 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2016 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2017 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2018 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2019 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2020 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2021 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2022 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2024 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2025 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2026 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2027 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2028 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2029 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2030 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2031 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2032 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2033 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2034 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2035 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2036 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2037 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2038 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2039 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2040 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2041 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2042 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2043 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2044 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2045 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2046 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2047 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2048 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2049 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2050 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2051 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2052 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2053 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2054 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2055 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2056 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2057 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2058 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2059 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2060 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2061 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2062 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2063,USA,Commercial,SpaceX,Communications,LEO
Starlink-2064 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2065 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2066 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2067 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2068 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2069 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2070 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2071 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2076 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2077 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2078 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2081 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2082 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2083 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2084 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2085 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2086 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2087,USA,Commercial,SpaceX,Communications,LEO
Starlink-2088 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2089 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2090 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2092 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2093 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2094 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2095 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2096 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2097 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2098 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2099 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2100 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2101 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2102 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2103 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2104 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2105 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2106 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2107 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2108 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2109 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2110 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2111 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2112 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2113 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2114 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2115 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2116 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2117 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2118 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2119 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2120 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2121 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2122 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2123 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2124 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2125 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2126 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2127 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2128 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2129 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2130 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2131 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2132 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2133 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2134 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2135 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2139,USA,Commercial,SpaceX,Communications,LEO
Starlink-2140 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2141 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2142 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2143 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2144 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2145,USA,Commercial,SpaceX,Communications,LEO
Starlink-2146 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2147 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2148 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2149 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2150 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2151,USA,Commercial,SpaceX,Communications,LEO
Starlink-2152 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2153 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2154 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2155,USA,Commercial,SpaceX,Communications,LEO
Starlink-2156 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2157 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2158 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2159 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2160 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2161 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2162 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2163 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2164 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2166,USA,Commercial,SpaceX,Communications,LEO
Starlink-2167,USA,Commercial,SpaceX,Communications,LEO
Starlink-2168 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2169 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2170 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2171 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2174 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2175 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2178 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2179 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2180 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2181 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2182 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2184 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2185 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2186,USA,Commercial,SpaceX,Communications,LEO
Starlink-2187,USA,Commercial,SpaceX,Communications,LEO
Starlink-2188,USA,Commercial,SpaceX,Communications,LEO
Starlink-2189 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2190,USA,Commercial,SpaceX,Communications,LEO
Starlink-2191,USA,Commercial,SpaceX,Communications,LEO
Starlink-2192 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2193 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2194 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2195 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2196 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2197 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2198 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2209 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2210 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2211 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2212 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2213,USA,Commercial,SpaceX,Communications,LEO
Starlink-2213 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2214,USA,Commercial,SpaceX,Communications,LEO
Starlink-2215,USA,Commercial,SpaceX,Communications,LEO
Starlink-2217,USA,Commercial,SpaceX,Communications,LEO
Starlink-2218 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2219,USA,Commercial,SpaceX,Communications,LEO
Starlink-2220,USA,Commercial,SpaceX,Communications,LEO
Starlink-2221,USA,Commercial,SpaceX,Communications,LEO
Starlink-2222,USA,Commercial,SpaceX,Communications,LEO
Starlink-2223 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2224,USA,Commercial,SpaceX,Communications,LEO
Starlink-2225,USA,Commercial,SpaceX,Communications,LEO
Starlink-2226 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2227,USA,Commercial,SpaceX,Communications,LEO
Starlink-2228,USA,Commercial,SpaceX,Communications,LEO
Starlink-2229 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2231,USA,Commercial,SpaceX,Communications,LEO
Starlink-2232,USA,Commercial,SpaceX,Communications,LEO
Starlink-2233,USA,Commercial,SpaceX,Communications,LEO
Starlink-2234,USA,Commercial,SpaceX,Communications,LEO
Starlink-2235,USA,Commercial,SpaceX,Communications,LEO
Starlink-2236,USA,Commercial,SpaceX,Communications,LEO
Starlink-2237,USA,Commercial,SpaceX,Communications,LEO
Starlink-2238,USA,Commercial,SpaceX,Communications,LEO
Starlink-2240,USA,Commercial,SpaceX,Communications,LEO
Starlink-2241,USA,Commercial,SpaceX,Communications,LEO
Starlink-2242,USA,Commercial,SpaceX,Communications,LEO
Starlink-2243 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2244,USA,Commercial,SpaceX,Communications,LEO
Starlink-2245,USA,Commercial,SpaceX,Communications,LEO
Starlink-2247,USA,Commercial,SpaceX,Communications,LEO
Starlink-2248,USA,Commercial,SpaceX,Communications,LEO
Starlink-2249,USA,Commercial,SpaceX,Communications,LEO
Starlink-2250,USA,Commercial,SpaceX,Communications,LEO
Starlink-2251,USA,Commercial,SpaceX,Communications,LEO
Starlink-2252,USA,Commercial,SpaceX,Communications,LEO
Starlink-2253,USA,Commercial,SpaceX,Communications,LEO
Starlink-2254 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2255,USA,Commercial,SpaceX,Communications,LEO
Starlink-2256,USA,Commercial,SpaceX,Communications,LEO
Starlink-2257 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2258 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2260 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2262 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2263 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2264 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2265 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2266 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2267 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2268 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2269,USA,Commercial,SpaceX,Communications,LEO
Starlink-2270 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2271 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2272 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2273 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2274,USA,Commercial,SpaceX,Communications,LEO
Starlink-2275,USA,Commercial,SpaceX,Communications,LEO
Starlink-2278 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2279 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2280 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2282 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2283 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2284 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2285 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2286 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2288 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2290 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2291 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2292 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2293 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2294 ,USA,Commercial,SpaceX,Communications,LEO
Starlink-2295 ,USA,Commercial,SpaceX,Communications,LEO
