Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
Gaofen 4,China,Government,China Aerospace Science and Technology Corp. (CASC),Earth Observation,GEO
Gaofen 5-02,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 7,China,Government,China Academy of Space Technology (CAST),Earth Observation,LEO
Gaofen 8,China,Military,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 9,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 9-02,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 9-03,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 9-04,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen 9-05,China,Government,Shanghai Academy of Spaceflight Technology (SAST),Earth Observation,LEO
Gaofen Multi-Mode 1,China,Government,China Academy of Space Technology (CAST),Earth Observation,LEO
Garpun-12L (Cosmos 2513),Russia,Military,ISS Reshetnev,Communications,GEO
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),Denmark,Commercial,GomSpace/University of Aalborg,Technology Development,LEO
"GCOM-C (Global Change Observation Mission Climate, Shikisai)",Japan,Government,Japan Aerospace Exploration Agency (JAXA),Earth Observation,LEO
GEARRS-3 (Globalstar Experiment And Risk Reduction Satellite 3),USA,Military/Commercial,Air Force Research Laboratory,Communications,LEO
GEARRSAT-2 (Globalstar Experiment And Risk Reduction Satellite),USA,Government,NearSpace Launch/Air Force Research Laboratory,Technology Development,LEO
GECAM-A (Gravitational Wave High-energy Electromagnetic Counterpart All-sky Monitor),China,Government,Shanghai Institute of Microsatellite Innovation,Space Science,LEO
GECAM-B (Gravitational Wave High-energy Electromagnetic Counterpart All-sky Monitor),China,Government,Shanghai Institute of Microsatellite Innovation,Space Science,LEO
GeeSat 5-01 ,China,Commercial,Geespace,Earth Observation/Navigation,LEO
GeeSat 5-02,China,Commercial,Geespace,Earth Observation/Navigation,LEO
